Champion	Top	Jungle	Mid	ADC	Support
Aatrox	5	0	0	0	0
Ahri	0	0	5	0	0
Akali	4	0	5	0	0
Akshan	4	0	5	0	0
Alistar	0	0	0	0	5
Amumu	0	0	0	0	5
Anivia	0	0	5	0	0
Annie	0	0	5	0	0
Aphelios	0	0	0	5	0
Ashe	0	0	0	5	4
Aurelion Sol	0	0	5	0	0
Azir	0	0	5	0	0
Bard	0	0	0	0	5
Bel'Veth	0	5	0	0	0
Blitzcrank	0	4	0	0	5
Brand	0	0	0	0	5
Braum	0	0	0	0	5
Caitlyn	0	0	0	5	0
Camille	5	0	0	0	0
Cassiopeia	0	0	5	0	0
Cho'Gath	5	0	4	0	0
Corki	0	0	5	0	0
Darius	5	0	0	0	0
Diana	0	5	0	0	0
Dr. Mundo	5	0	0	0	0
Draven	0	0	0	5	0
Ekko	0	5	4	0	0
Elise	0	5	0	0	0
Evelynn	0	5	0	0	0
Ezreal	0	0	0	5	0
Fiddlesticks	0	5	0	0	0
Fiora	5	0	0	0	0
Fizz	0	0	5	0	0
Galio	0	0	5	0	0
Gangplank	5	0	0	0	0
Garen	5	0	0	0	0
Gnar	5	0	0	0	0
Gragas	5	4	0	0	0
Graves	0	5	0	0	0
Gwen	5	0	0	0	0
Hecarim	0	5	0	0	0
Heimerdinger	3	0	4	0	5
Illaoi	5	0	0	0	0
Irelia	5	0	4	0	0
Ivern	0	5	0	0	0
Janna	0	0	0	0	5
Jarvan IV	0	5	0	0	0
Jax	5	0	0	0	0
Jayce	5	0	0	0	0
Jhin	0	0	0	5	0
Jinx	0	0	0	5	0
Kai'Sa	0	0	0	5	0
Kalista	0	0	0	5	0
Karma	0	0	0	0	5
Karthus	0	5	0	0	0
Kassadin	0	0	5	0	0
Katarina	0	0	5	0	0
Kayle	5	0	0	0	0
Kayn	0	5	0	0	0
Kennen	5	0	0	0	0
Kha'Zix	0	5	0	0	0
Kindred	0	5	0	0	0
Kled	5	0	0	0	0
Kog'Maw	0	0	0	5	0
LeBlanc	0	0	5	0	0
Lee Sin	0	5	0	0	0
Leona	0	0	0	0	5
Lillia	0	5	0	0	0
Lissandra	0	0	5	0	0
Lucian	0	0	0	5	0
Lulu	0	0	0	0	5
Lux	0	0	4	0	5
Malphite	5	0	0	0	0
Malzahar	0	0	5	0	0
Maokai	4	3	0	0	5
Master Yi	0	5	0	0	0
Miss Fortune	0	0	0	5	0
Mordekaiser	5	0	0	0	0
Morgana	0	0	0	0	5
Nami	0	0	0	0	5
Nasus	5	0	0	0	0
Nautilus	0	0	0	0	5
Neeko	0	0	5	0	4
Nidalee	0	5	0	0	0
Nilah	0	0	0	5	0
Nocturne	0	5	0	0	0
Nunu	0	5	0	0	0
Olaf	5	4	0	0	0
Orianna	0	0	5	0	0
Ornn	5	0	0	0	0
Pantheon	4	5	3	0	2
Poppy	4	5	0	0	0
Pyke	0	0	0	0	5
Qiyana	0	4	5	0	0
Quinn	5	0	0	0	0
Rakan	0	0	0	0	5
Rammus	0	5	0	0	0
Rek'Sai	0	5	0	0	0
Rell	0	0	0	0	5
Renata	0	0	0	0	5
Renekton	5	0	0	0	0
Rengar	4	5	0	0	0
Riven	5	0	0	0	0
Rumble	5	0	4	0	0
Ryze	4	0	5	0	0
Samira	0	0	0	5	0
Sejuani	4	5	0	0	0
Senna	0	0	0	0	5
Seraphine	0	0	0	4	5
Sett	5	0	0	0	0
Shaco	0	5	0	0	0
Shen	5	0	0	0	0
Shyvana	0	5	0	0	0
Singed	5	0	4	0	0
Sion	5	0	0	0	0
Sivir	0	0	0	5	0
Skarner	4	5	0	0	0
Sona	0	0	0	0	5
Soraka	0	0	0	0	5
Swain	0	0	5	0	4
Sylas	0	0	5	0	0
Syndra	0	0	5	0	0
Tahm Kench	5	0	0	0	4
Taliyah	0	5	4	0	0
Talon	0	4	5	0	0
Taric	0	0	0	0	5
Teemo	5	0	0	0	0
Thresh	0	0	0	0	5
Tristana	0	0	0	5	0
Trundle	0	5	0	0	0
Tryndamere	5	0	0	0	0
Twisted Fate	0	0	5	0	0
Twitch	0	0	0	5	0
Udyr	4	5	0	0	0
Urgot	5	0	0	0	0
Varus	0	0	4	5	0
Vayne	4	0	0	5	0
Veigar	0	0	5	0	0
Vel'Koz	0	0	4	0	5
Vex	0	0	5	0	0
Vi	0	5	0	0	0
Viego	0	5	0	0	0
Viktor	0	0	5	0	0
Vladimir	4	0	5	0	0
Volibear	4	5	0	0	0
Warwick	4	5	0	0	0
Wukong	4	5	0	0	0
Xayah	0	0	0	5	0
Xerath	0	0	4	0	5
Xin Zhao	0	5	0	0	0
Yasuo	0	0	5	0	0
Yone	4	0	5	0	0
Yorick	5	0	0	0	0
Yuumi	0	0	0	0	5
Zac	0	5	0	0	0
Zed	0	0	5	0	0
Zeri	0	0	0	5	0
Ziggs	0	0	5	4	0
Zilean	0	0	0	0	5
Zoe	0	0	5	0	0
Zyra	0	0	0	0	5